#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:27+0000 #
#####################################################################
# rsc = 1.0, rsm = 7.0
#
# The columns have the following meaning: 
# time X[Mean] Y[Mean] 
0.0 1.0 0.0 
1.5002911786932884 21.0 5.0 
3.000127378490121 32.0 4.0 
4.500200629158634 33.0 3.0 
6.000022728609872 32.0 2.0 
7.544223863689018 1.0 41.0 
9.00003637853297 44.0 2.0 
10.500172647109586 27.0 4.0 
12.023856294987361 1.0 36.0 
13.500054634999914 29.0 4.0 
15.005123285213033 1.0 30.0 
16.511667599766824 1.0 56.0 
18.000031074715686 35.0 4.0 
19.504397505487223 1.0 39.0 
21.000179652537952 42.0 2.0 
22.50005843546724 30.0 3.0 
24.004005153505876 1.0 37.0 
25.517739530681613 1.0 66.0 
27.070357986252894 1.0 97.0 
28.500080051055154 45.0 2.0 
30.00028627380334 22.0 7.0 
31.500104253165002 28.0 2.0 
33.0004065966807 18.0 5.0 
34.52376596370764 1.0 44.0 
36.000094758682565 69.0 1.0 
37.500124862948205 33.0 2.0 
39.000000958879546 31.0 2.0 
40.50140340368782 1.0 29.0 
42.00024924238382 29.0 4.0 
43.500029114275165 17.0 7.0 
45.00969942906588 0.0 23.0 
46.501707223218055 0.0 53.0 
48.00023361440241 35.0 4.0 
49.50017119135454 24.0 3.0 
51.000195158682075 25.0 2.0 
52.532487467063916 1.0 40.0 
54.14717380374713 1.0 71.0 
55.50010217304608 56.0 1.0 
57.00008827496649 18.0 8.0 
58.571012511524884 1.0 33.0 
60.000189434876454 60.0 0.0 
61.50002083112948 19.0 5.0 
63.00049316202914 25.0 4.0 
64.50025939088876 23.0 6.0 
66.04755801153676 1.0 39.0 
67.50005063037432 35.0 7.0 
69.00019949379272 27.0 3.0 
70.63789109451994 1.0 28.0 
72.00497884541137 0.0 53.0 
73.50048486798518 23.0 8.0 
75.00004993499655 20.0 7.0 
76.50003901664338 34.0 7.0 
78.00043599244123 22.0 5.0 
79.50114148216241 1.0 27.0 
81.0000205622204 45.0 1.0 
82.5001051121401 19.0 10.0 
84.0005809626903 47.0 2.0 
85.50428490528958 1.0 26.0 
87.00783379786213 3.0 55.0 
88.50003686974584 36.0 2.0 
90.00077815466061 14.0 10.0 
91.50845329085797 0.0 46.0 
93.01640060444255 1.0 70.0 
94.50047651404263 40.0 2.0 
96.00001141130838 23.0 4.0 
97.50005573917414 23.0 4.0 
99.00008269348858 35.0 2.0 
100.50000760623848 19.0 6.0 
102.01827693551401 0.0 43.0 
103.50001571205824 59.0 2.0 
105.00041282236943 39.0 2.0 
106.50044224881441 21.0 8.0 
108.00012860424238 16.0 8.0 
109.56853008697448 1.0 44.0 
111.00011627020717 56.0 1.0 
112.50039568105991 33.0 3.0 
114.00222837388519 0.0 28.0 
115.50020300775252 25.0 7.0 
117.00002399999548 24.0 5.0 
118.5003128321584 24.0 2.0 
120.24136816466495 1.0 47.0 
121.50033164632086 24.0 3.0 
123.00229984291443 4.0 20.0 
124.65270264239024 1.0 52.0 
126.1796299910077 1.0 76.0 
127.50064585805272 42.0 4.0 
129.0001144926145 22.0 6.0 
130.60364520180852 1.0 40.0 
132.00000796514664 28.0 6.0 
133.5047063119997 0.0 47.0 
135.01456414949334 1.0 68.0 
136.50005180296404 33.0 4.0 
