#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:41+0000 #
#####################################################################
# 
#
# The columns have the following meaning: 
# time TetR[Mean] LacI[Mean] AcI[Mean] 
136.511284288651 78.0 96.0 80.0 
138.0393853186976 88.0 97.0 85.0 
139.5077649106265 88.0 106.0 82.0 
141.0227165246357 84.0 105.0 83.0 
142.50003819521336 78.0 105.0 83.0 
144.02403047217902 79.0 104.0 82.0 
145.50003690771103 82.0 101.0 83.0 
147.01506794375027 84.0 100.0 83.0 
148.53380098353855 78.0 103.0 78.0 
150.03806691342373 76.0 99.0 79.0 
151.51541757717033 85.0 95.0 81.0 
153.00963518394585 76.0 96.0 92.0 
154.53642459219455 83.0 93.0 99.0 
156.00205670749995 86.0 94.0 98.0 
157.5178999518147 93.0 84.0 101.0 
159.0131766371445 90.0 91.0 107.0 
160.50170901332422 88.0 96.0 100.0 
162.0263116677945 87.0 90.0 112.0 
163.50521756512774 88.0 93.0 110.0 
165.0578923600351 86.0 95.0 110.0 
166.6023536297798 91.0 89.0 113.0 
168.00365632928506 92.0 95.0 97.0 
169.5268972684973 87.0 100.0 78.0 
171.02539775326431 83.0 99.0 76.0 
172.5239453273806 81.0 90.0 81.0 
174.0177637288518 87.0 78.0 73.0 
175.5116481778897 88.0 82.0 76.0 
177.02267875646587 83.0 72.0 82.0 
178.50073887663697 82.0 65.0 86.0 
180.08137235286938 79.0 73.0 87.0 
181.51756066075305 86.0 87.0 84.0 
183.01453692743047 86.0 90.0 84.0 
184.520955531444 94.0 86.0 92.0 
186.02476704289643 100.0 100.0 91.0 
187.5450280965974 100.0 98.0 84.0 
189.00208597643646 98.0 106.0 85.0 
190.50482251248354 94.0 109.0 83.0 
192.00265024883416 96.0 109.0 96.0 
193.50197637930737 100.0 108.0 95.0 
195.00155319273773 102.0 106.0 96.0 
196.50884500740742 90.0 97.0 98.0 
198.0254338611361 90.0 103.0 106.0 
199.50541656387617 96.0 102.0 112.0 
201.06455624706723 102.0 97.0 109.0 
202.5047470611152 100.0 97.0 104.0 
204.0120265722794 94.0 103.0 99.0 
205.51003025621458 92.0 102.0 101.0 
207.0076998026525 102.0 98.0 102.0 
208.52623380607483 104.0 96.0 93.0 
210.01596409437522 109.0 94.0 93.0 
211.52795142849283 111.0 87.0 89.0 
213.0075037673357 102.0 88.0 92.0 
214.51198139408046 102.0 88.0 98.0 
216.01026071756513 95.0 79.0 97.0 
217.57551283215602 96.0 73.0 94.0 
219.0319328697247 103.0 78.0 104.0 
220.51221306512605 100.0 83.0 93.0 
222.00392512804171 100.0 83.0 90.0 
223.50273853178234 95.0 89.0 94.0 
225.0207751532865 92.0 89.0 95.0 
226.50111032897834 98.0 89.0 93.0 
228.02058589852783 94.0 88.0 91.0 
229.52738289260483 102.0 87.0 88.0 
231.0325446950646 95.0 84.0 93.0 
232.51019561435785 95.0 87.0 89.0 
234.01247714487172 94.0 86.0 94.0 
235.51385303244382 98.0 86.0 92.0 
237.00200677831452 94.0 81.0 90.0 
238.52657718185802 99.0 84.0 90.0 
240.01425501288205 95.0 81.0 92.0 
241.5086043147878 92.0 87.0 92.0 
243.01428954297353 94.0 89.0 95.0 
244.56038009809913 93.0 89.0 93.0 
246.00861509340285 97.0 91.0 92.0 
247.5088025403318 103.0 96.0 91.0 
249.04400683259146 107.0 92.0 96.0 
250.51845253860117 107.0 93.0 99.0 
252.03451220160846 109.0 98.0 99.0 
253.50395200080845 109.0 97.0 104.0 
255.04117168871144 114.0 96.0 96.0 
256.55086580492264 111.0 100.0 100.0 
