#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:31+0000 #
#####################################################################
# rsc = 5.0, rsm = 3.0
#
# The columns have the following meaning: 
# time X[Mean] Y[Mean] 
0.0 1.0 0.0 
1.5071834810144182 0.0 37.0 
3.00050151329931 35.0 2.0 
4.789803988047768 1.0 25.0 
6.054596198427453 1.0 59.0 
7.500059145255767 37.0 4.0 
9.000244253596213 22.0 8.0 
10.537534732618209 1.0 45.0 
12.189581741685155 1.0 65.0 
13.50002937206614 88.0 2.0 
15.000074022358476 31.0 2.0 
16.539274105372943 1.0 30.0 
18.00028885333222 33.0 1.0 
19.545632867170095 1.0 31.0 
21.016692852583798 1.0 61.0 
22.500210711755493 28.0 2.0 
24.000074446461326 30.0 4.0 
25.62678484838694 1.0 29.0 
27.047553757144208 1.0 52.0 
28.500102776351586 35.0 5.0 
30.00000907909045 17.0 8.0 
31.50003306564806 41.0 3.0 
33.000369626199806 20.0 5.0 
34.50023545677181 30.0 2.0 
36.00007037037183 25.0 3.0 
37.506889982071556 1.0 36.0 
39.02150465046015 1.0 66.0 
40.500146423852115 29.0 5.0 
42.000256587018164 23.0 5.0 
43.50870691546303 0.0 49.0 
45.10913157223017 1.0 23.0 
46.50574339549124 0.0 28.0 
48.004889281300144 1.0 58.0 
49.500002941314534 72.0 2.0 
51.00000120799069 31.0 5.0 
52.500022864262995 22.0 9.0 
54.000151141317765 39.0 1.0 
55.50014813537523 18.0 6.0 
57.00014545755091 36.0 1.0 
58.500026127795664 28.0 4.0 
60.0000004320982 39.0 3.0 
61.500097717355395 27.0 7.0 
63.000253034631534 24.0 5.0 
64.50005145780607 26.0 4.0 
66.28504059041258 1.0 28.0 
67.54096065097143 1.0 57.0 
69.00002520187527 78.0 1.0 
70.50075512902751 33.0 2.0 
72.00009882195943 25.0 7.0 
73.50023839063185 26.0 2.0 
75.03814679047 1.0 39.0 
76.51355238386232 1.0 65.0 
78.0000390706659 26.0 4.0 
79.5000238857476 24.0 7.0 
81.00003590196769 7.0 17.0 
82.52609427797996 0.0 32.0 
84.00025998571037 51.0 1.0 
85.50023317844497 22.0 5.0 
87.00006234250058 21.0 6.0 
88.56980595474901 1.0 37.0 
90.01453405239305 0.0 66.0 
91.50020932504782 41.0 4.0 
93.00011333617128 31.0 3.0 
94.6148750173712 1.0 43.0 
96.01675910886215 1.0 71.0 
97.50001350800108 57.0 4.0 
99.00050508170683 30.0 5.0 
100.50013775680158 30.0 4.0 
102.00513359949062 1.0 40.0 
103.50313219279026 2.0 69.0 
105.00005159726255 27.0 4.0 
106.50001211220165 23.0 5.0 
108.05305445623503 1.0 40.0 
109.51880069218329 1.0 66.0 
111.0000608004927 35.0 4.0 
112.50120929158285 1.0 22.0 
114.00000557116059 29.0 6.0 
115.50077950838681 22.0 4.0 
117.0000725757919 30.0 2.0 
118.50002978062605 21.0 5.0 
120.29811722374603 1.0 31.0 
121.50005212673622 1.0 45.0 
123.00006254331021 34.0 6.0 
124.5000074396948 18.0 6.0 
126.04900713388459 1.0 27.0 
127.54031752836966 1.0 47.0 
129.00007361931307 53.0 2.0 
130.50036727606422 25.0 4.0 
132.02283132848905 1.0 36.0 
133.50018523824767 47.0 2.0 
135.0001250167786 27.0 1.0 
136.50965047351846 1.0 46.0 
138.00021350688272 30.0 6.0 
139.50018492305236 1.0 33.0 
141.0133392984328 1.0 62.0 
142.50004427233856 50.0 1.0 
144.00013651883563 25.0 4.0 
145.53172978467092 1.0 38.0 
147.02131641748545 1.0 66.0 
148.50038331078173 42.0 3.0 
150.000041757905 28.0 4.0 
151.50020003988848 35.0 3.0 
153.00043470128887 26.0 4.0 
154.5001918055018 30.0 2.0 
156.00026319346162 29.0 6.0 
157.50022022888425 12.0 14.0 
159.0911935989161 1.0 38.0 
160.51219543331942 1.0 62.0 
162.00003608859424 50.0 4.0 
163.6234881720275 1.0 24.0 
165.0096016324062 1.0 64.0 
166.50014755648078 46.0 3.0 
168.0001270984932 18.0 9.0 
169.50017734426825 22.0 5.0 
171.04312806660653 1.0 45.0 
172.50001889781777 29.0 6.0 
174.00019342545968 18.0 9.0 
175.53208146435847 1.0 59.0 
177.00004672962893 78.0 1.0 
178.50001096833793 33.0 5.0 
180.00001456470068 25.0 4.0 
