#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:35+0000 #
#####################################################################
# rsc = 9.0, rsm = 4.0
#
# The columns have the following meaning: 
# time X[Mean] Y[Mean] 
0.0 1.0 0.0 
1.5139656475356809 1.0 29.0 
3.0567957762064157 1.0 64.0 
4.50008171205588 39.0 1.0 
6.00000744376318 24.0 8.0 
7.500099910568767 26.0 5.0 
9.000118513978862 27.0 3.0 
10.52019689977582 1.0 30.0 
12.023994601743265 1.0 61.0 
13.500013549025827 46.0 3.0 
15.000023560334549 22.0 9.0 
16.500078580826155 29.0 2.0 
18.00172591509619 1.0 24.0 
19.500048021243533 56.0 2.0 
21.00009724649459 23.0 4.0 
22.55361301484226 1.0 56.0 
24.09846596619542 1.0 78.0 
25.500004109306136 45.0 5.0 
27.000034422857244 37.0 2.0 
28.50017673986185 25.0 3.0 
30.05613195670209 1.0 38.0 
31.500049988760082 38.0 1.0 
33.06456864802942 1.0 29.0 
34.56967233946964 1.0 50.0 
36.07805118833223 1.0 67.0 
37.500003914154654 47.0 0.0 
39.108956931129526 1.0 32.0 
40.51529351226112 1.0 55.0 
42.03326956793782 1.0 75.0 
43.53846355753021 1.0 99.0 
45.000106582447636 74.0 0.0 
46.500067793197616 38.0 2.0 
48.08891196617764 1.0 29.0 
49.504123030241615 1.0 56.0 
51.00006490464958 35.0 5.0 
52.500476626835535 18.0 8.0 
54.24799306519052 1.0 40.0 
55.515468210599806 1.0 61.0 
57.00002882155468 72.0 3.0 
58.500106127851396 34.0 4.0 
60.018557954679004 1.0 37.0 
61.500809485403 60.0 1.0 
63.000243825781816 30.0 4.0 
64.50044685371795 23.0 5.0 
66.00011848073838 25.0 8.0 
67.50170977670439 0.0 32.0 
69.00006074870758 33.0 3.0 
70.50000862336181 23.0 4.0 
72.00011428277044 23.0 7.0 
73.52251880752873 1.0 23.0 
75.02522609553483 1.0 49.0 
76.50008094228049 72.0 0.0 
78.00000787305538 30.0 4.0 
79.64636163556357 1.0 27.0 
81.0029853104662 1.0 53.0 
82.50024080347347 27.0 6.0 
84.0000299052451 24.0 4.0 
85.50002417183539 24.0 3.0 
87.08777612060317 1.0 30.0 
88.54604111737196 1.0 56.0 
90.00011244210677 39.0 3.0 
91.51997727675749 1.0 38.0 
93.10715011326332 1.0 77.0 
94.50009959776348 50.0 0.0 
96.00036448968896 16.0 12.0 
97.51061504044421 2.0 26.0 
99.19148271331831 1.0 63.0 
100.57279218913033 1.0 93.0 
102.00779731953688 2.0 116.0 
103.50007697697846 48.0 3.0 
105.00025971964295 21.0 6.0 
106.50013525668554 0.0 31.0 
108.00034843662873 0.0 65.0 
109.56744016521863 1.0 86.0 
111.00012260014473 36.0 5.0 
112.50001411835605 33.0 1.0 
114.00593625688077 0.0 32.0 
115.50003611509943 58.0 1.0 
117.00004625485116 28.0 3.0 
118.50002900552383 26.0 1.0 
120.00002433742382 44.0 4.0 
121.50065911749677 23.0 4.0 
123.12421644181858 1.0 32.0 
124.53006183423282 1.0 63.0 
126.0000303983819 54.0 2.0 
127.50005215674284 30.0 3.0 
129.0964102604748 1.0 22.0 
130.50495969230457 1.0 48.0 
132.0700307904772 1.0 70.0 
133.5000074633257 89.0 1.0 
135.00000098108663 32.0 6.0 
136.50008093066614 24.0 7.0 
138.02753589684343 1.0 36.0 
139.5208323178408 1.0 66.0 
141.00000704993292 39.0 5.0 
142.50012220720458 30.0 4.0 
144.00000342294652 27.0 2.0 
145.50020300456285 21.0 3.0 
147.0135342413935 1.0 52.0 
