#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:26+0000 #
#####################################################################
# rsc = 0.0, rsm = 8.0
#
# The columns have the following meaning: 
# time X[Mean] Y[Mean] 
0.0 1.0 0.0 
1.565027059353268 1.0 39.0 
3.0273531756326832 1.0 60.0 
4.500029976959956 46.0 1.0 
6.0000878990454485 27.0 8.0 
7.508540947798038 0.0 31.0 
9.000102980837612 35.0 3.0 
10.500192580402045 22.0 3.0 
12.032962927650889 1.0 51.0 
13.500037604642905 83.0 0.0 
15.000035259787797 32.0 2.0 
16.524220738376556 1.0 35.0 
18.00006870740851 28.0 3.0 
19.500036911561892 23.0 7.0 
21.03500873737996 1.0 49.0 
22.510332449394614 1.0 77.0 
24.074201324581672 1.0 112.0 
25.500080497549916 68.0 1.0 
27.000023248782483 1.0 34.0 
28.500168738237146 47.0 1.0 
30.00006399300215 22.0 4.0 
31.50057950629498 18.0 8.0 
33.00003747577089 14.0 28.0 
34.50031396949167 23.0 4.0 
36.19160005405476 1.0 32.0 
37.58826094713167 1.0 64.0 
39.00000009708584 46.0 2.0 
40.50008840930645 21.0 8.0 
42.00004680714957 10.0 11.0 
43.51475758281847 1.0 48.0 
45.00012661407398 29.0 2.0 
46.50013260913472 20.0 9.0 
48.00013732477687 22.0 4.0 
49.50597096427238 1.0 53.0 
51.00027651324121 50.0 2.0 
52.50041308638067 23.0 4.0 
54.0060369257274 0.0 51.0 
55.50012139343923 34.0 1.0 
57.00021524578704 26.0 3.0 
58.50005542954774 20.0 8.0 
60.010048561262906 1.0 37.0 
61.50824716791499 1.0 69.0 
63.00003826685235 76.0 3.0 
64.50009864660319 30.0 2.0 
66.00022214250419 15.0 10.0 
67.52051658083903 1.0 26.0 
69.01530774401299 1.0 57.0 
70.54105231280542 1.0 85.0 
72.0002039552308 37.0 1.0 
73.50119091210556 3.0 25.0 
75.04964487441875 1.0 53.0 
76.52443657414305 1.0 86.0 
78.00052073858487 84.0 1.0 
79.50020352338113 24.0 6.0 
81.06633320233935 1.0 25.0 
82.57564185458955 1.0 53.0 
84.00018182311116 30.0 5.0 
85.50013943352103 33.0 4.0 
87.0003484661593 31.0 2.0 
88.50016455390427 28.0 3.0 
90.00033670622902 28.0 3.0 
91.5000380660285 26.0 4.0 
93.00011842175691 26.0 6.0 
94.50001194409217 33.0 4.0 
96.00003026883745 23.0 8.0 
97.50016409754163 32.0 3.0 
99.00004683720343 24.0 5.0 
100.5347872674056 1.0 36.0 
102.03438868562097 1.0 73.0 
