#####################################################################
# Alchemist log file - simulation started at: 2019-09-11T14:28+0000 #
#####################################################################
# rsc = 2.0, rsm = 9.0
#
# The columns have the following meaning: 
# time X[Mean] Y[Mean] 
0.0 1.0 0.0 
1.5980569487936886 1.0 28.0 
3.008285339573088 1.0 53.0 
4.5085005143080705 0.0 91.0 
6.000114892588485 40.0 6.0 
7.500028651359493 20.0 6.0 
9.006331092181378 1.0 36.0 
10.500123824531556 27.0 4.0 
12.000202864972715 22.0 9.0 
13.700428405911545 1.0 44.0 
15.119304958054357 1.0 69.0 
16.500127084545994 45.0 3.0 
18.030146232283876 1.0 32.0 
19.500983048185123 26.0 3.0 
21.0723019569771 1.0 30.0 
22.583679343378083 1.0 60.0 
24.000023248791933 63.0 2.0 
25.500034379696853 25.0 4.0 
27.056833999158112 1.0 55.0 
28.61459929858632 1.0 85.0 
30.06959594250833 1.0 108.0 
31.500051061931664 52.0 3.0 
33.000019149011955 25.0 5.0 
34.5001777851871 24.0 6.0 
36.00014314873504 26.0 5.0 
37.64127549141016 1.0 28.0 
39.173963571764595 1.0 52.0 
40.5320700865986 1.0 75.0 
42.00002747676544 31.0 6.0 
43.50009031742435 20.0 8.0 
45.00999881988931 1.0 40.0 
46.64828699762142 1.0 63.0 
48.00017718386594 31.0 5.0 
49.50005244307017 20.0 6.0 
51.00045819110537 43.0 2.0 
52.50273671598193 0.0 33.0 
54.03189488797458 1.0 60.0 
55.50006243173174 39.0 3.0 
57.0000010990816 38.0 3.0 
58.50052101027989 24.0 4.0 
60.067894693319445 1.0 28.0 
61.50017460349287 49.0 2.0 
63.15260671632971 1.0 29.0 
64.50005732417814 47.0 1.0 
66.00025467307975 21.0 6.0 
67.5804984234344 1.0 43.0 
69.08709205759821 1.0 67.0 
70.50003332032541 36.0 1.0 
72.03192931337783 1.0 28.0 
73.53234120438977 1.0 52.0 
75.00010727477874 52.0 2.0 
76.50068097339073 15.0 10.0 
78.06287024065644 1.0 44.0 
79.55255383502902 1.0 65.0 
81.00001947859201 62.0 0.0 
82.50023821421118 31.0 6.0 
84.00033565446283 36.0 1.0 
85.50014482446642 17.0 8.0 
87.09173153042873 1.0 42.0 
88.58675857499433 1.0 68.0 
90.00013688866173 44.0 3.0 
91.50013034588521 27.0 4.0 
93.00861821897219 0.0 23.0 
94.5567156856277 1.0 57.0 
96.00007148077688 69.0 2.0 
97.50003178968825 29.0 5.0 
99.00010406195031 23.0 8.0 
100.50018307425297 28.0 2.0 
102.00016494423367 25.0 4.0 
103.53344070283367 1.0 25.0 
105.00011949042866 44.0 3.0 
106.61845960267783 1.0 22.0 
108.01695534226727 1.0 57.0 
109.50004864623374 75.0 3.0 
111.00045730395622 29.0 6.0 
112.51342752897716 1.0 42.0 
114.00038022494037 66.0 1.0 
115.50033926927014 32.0 1.0 
117.0168158769279 0.0 24.0 
118.50020115964803 23.0 6.0 
120.00041575625737 18.0 8.0 
121.50010014911915 43.0 4.0 
123.00040234028803 36.0 1.0 
124.50017618581559 15.0 9.0 
126.00007013178218 16.0 9.0 
127.50001880294916 22.0 6.0 
129.0002595625106 26.0 3.0 
130.73887337941932 1.0 25.0 
132.0900519293833 1.0 52.0 
133.53066736596395 1.0 84.0 
135.0000709809833 31.0 8.0 
136.50000700776397 28.0 5.0 
138.01528658475303 1.0 26.0 
139.50008582107722 50.0 0.0 
141.00022625216263 29.0 2.0 
142.52521766769664 1.0 23.0 
144.00148002239752 1.0 48.0 
145.50006859053443 44.0 5.0 
147.0000117275992 31.0 3.0 
148.62861213291413 1.0 42.0 
150.00012735961639 21.0 6.0 
151.54048237906963 1.0 35.0 
153.00002891479534 55.0 2.0 
154.500071803421 28.0 5.0 
156.00001072261406 24.0 3.0 
157.50014101519025 1.0 54.0 
159.09806009645422 1.0 84.0 
160.50002424671297 46.0 3.0 
162.00015825705785 30.0 2.0 
163.50011489291035 35.0 4.0 
165.0002737621358 26.0 5.0 
166.5062475731602 1.0 26.0 
168.0000368533837 46.0 2.0 
169.5001214625788 25.0 4.0 
171.0001108209759 19.0 10.0 
172.62329375231343 1.0 35.0 
174.14444977813085 1.0 67.0 
175.5084092230175 0.0 101.0 
177.00050686613005 48.0 1.0 
178.50014271756578 22.0 7.0 
180.0167480573665 2.0 44.0 
181.51257123407723 1.0 72.0 
183.00007919454825 26.0 1.0 
184.52061765977498 1.0 45.0 
186.00001720242207 36.0 7.0 
187.50008198476502 29.0 2.0 
189.00547792587545 1.0 45.0 
190.55339424091102 1.0 78.0 
192.00001987638015 78.0 4.0 
193.50005205872017 40.0 3.0 
195.0002131558664 31.0 2.0 
196.50012820191515 21.0 8.0 
198.0010558787302 3.0 41.0 
199.57554711064236 1.0 70.0 
201.00030300845563 37.0 1.0 
202.50000146275931 17.0 8.0 
204.0475285944946 1.0 55.0 
205.50002683831636 37.0 2.0 
207.00009108210915 26.0 4.0 
208.51104213383144 1.0 39.0 
210.01727938509305 1.0 64.0 
211.5002461747765 38.0 4.0 
213.0000402053175 28.0 4.0 
214.50002629848348 23.0 5.0 
216.04605587848735 1.0 40.0 
217.58594956421624 1.0 64.0 
219.00001596469386 28.0 7.0 
220.55804088727862 1.0 46.0 
222.00000114272422 38.0 2.0 
223.55208036056544 1.0 33.0 
225.0001094396578 54.0 1.0 
226.50003406506158 15.0 8.0 
228.00099261380004 1.0 42.0 
229.7113733836675 1.0 67.0 
231.0002535388244 40.0 1.0 
232.50009647671385 29.0 5.0 
234.07043288567493 1.0 24.0 
235.55465796232403 1.0 51.0 
237.00030340783547 18.0 12.0 
238.5533406669134 1.0 35.0 
240.00048285761255 20.0 3.0 
241.51848213941693 1.0 54.0 
243.0001037973941 26.0 8.0 
244.50051472143537 18.0 7.0 
246.0000123341868 27.0 4.0 
247.5025167365336 1.0 24.0 
249.03323565229266 1.0 37.0 
250.51333394297825 1.0 67.0 
252.02440880140415 1.0 98.0 
253.53238617800133 1.0 135.0 
255.00022207133813 112.0 1.0 
256.50034853510226 31.0 5.0 
258.0001410721502 27.0 4.0 
259.6186619670841 1.0 48.0 
261.0080027582338 1.0 73.0 
262.50013532969746 22.0 7.0 
264.04799919107535 1.0 30.0 
265.5501574558297 1.0 51.0 
267.0000239672488 36.0 4.0 
268.51156814509085 1.0 36.0 
270.09650053555407 1.0 62.0 
271.5365686850053 1.0 87.0 
273.0000738520081 71.0 3.0 
274.50011414865776 20.0 9.0 
276.0035741235371 1.0 50.0 
277.50003303788475 43.0 4.0 
279.0000463291373 25.0 3.0 
280.5036109777885 1.0 27.0 
282.022579661245 1.0 49.0 
283.6011695234975 1.0 77.0 
285.0505108410289 1.0 107.0 
286.5001259569595 52.0 1.0 
288.0003475877636 24.0 5.0 
289.50003723437845 20.0 8.0 
291.11391501624234 1.0 30.0 
292.53617935031497 1.0 56.0 
294.0001339324748 48.0 1.0 
295.5001003760951 30.0 3.0 
297.0000250678178 25.0 8.0 
298.50031682673705 20.0 5.0 
300.00896286498653 0.0 57.0 
301.50002873481475 55.0 2.0 
303.00027572624896 22.0 3.0 
304.58696488225763 1.0 50.0 
306.00000939543514 51.0 1.0 
307.5010160056362 27.0 2.0 
309.0441069242205 1.0 38.0 
310.5253247811797 1.0 69.0 
312.00001406432483 59.0 2.0 
313.50003736752865 20.0 7.0 
315.000340002905 12.0 10.0 
316.53245119057465 1.0 58.0 
318.0000119935947 25.0 8.0 
319.5000259459544 21.0 3.0 
321.0082063296012 1.0 53.0 
322.50011755269077 39.0 4.0 
324.0000357287645 17.0 9.0 
325.6260826312575 1.0 27.0 
327.0321649143358 1.0 47.0 
328.5121348238839 1.0 84.0 
330.0001138967046 50.0 0.0 
331.50001987685175 15.0 10.0 
333.03203988757906 1.0 38.0 
334.53990777878727 1.0 67.0 
336.00598589870407 1.0 80.0 
337.50000935354075 80.0 6.0 
339.00035248719155 33.0 3.0 
340.5007663158121 24.0 2.0 
342.13490370563545 1.0 30.0 
343.5000112192187 47.0 2.0 
345.00014441292717 31.0 4.0 
346.5332436428998 1.0 25.0 
348.0177891587187 1.0 48.0 
349.50008954527925 38.0 3.0 
351.0002079727723 25.0 1.0 
